,x,y,sid,start,end
0,72.0,114.0,0,800.0,1500.0
1,70.0,113.0,1,800.0,1500.0
2,69.0,112.0,2,800.0,1500.0
3,68.0,111.0,3,800.0,1500.0
4,67.0,110.0,4,800.0,1500.0
5,66.0,109.0,5,800.0,1500.0
6,65.0,108.0,6,800.0,1500.0
7,65.0,107.0,7,800.0,1500.0
0,44.67112299465241,96.78181818181818,0,800.0,1500.0
1,46.831550802139034,97.65882352941176,1,800.0,1500.0
2,47.82620320855615,96.20427807486631,2,1150.0,1300.0
3,51.07754010695187,97.31657754010695,3,1150.0,1300.0
4,49.601604278074866,98.49304812834224,4,800.0,1500.0
5,50.87433155080214,95.70160427807485,5,1200.0,1270.0
6,57.36631016042781,98.30053475935829,6,800.0,1500.0
7,46.70320855614973,93.78716577540106,7,1150.0,1300.0
8,28.43582887700535,99.7657754010695,8,800.0,1500.0
9,21.43048128342246,21.808556149732617,9,1050.0,1200.0
10,41.270053475935825,93.124064171123,10,800.0,1500.0
11,42.12566844919786,94.20427807486631,11,800.0,1500.0
12,37.61229946524064,97.027807486631,12,800.0,1500.0
13,36.67112299465241,97.84064171122994,13,800.0,1500.0
14,17.334224598930483,99.56256684491979,14,800.0,1500.0
15,33.355614973262036,99.7657754010695,15,800.0,1500.0
16,29.398395721925134,101.91550802139037,16,800.0,1500.0
17,20.093582887700535,102.23636363636363,17,800.0,1500.0
18,25.227272727272727,82.98502673796791,18,1100.0,1300.0
19,18.40374331550802,102.7711229946524,19,800.0,1500.0
20,18.168449197860962,104.48235294117646,20,800.0,1500.0
21,17.09893048128342,79.77647058823528,21,800.0,1500.0
22,10.147058823529411,89.29518716577539,22,800.0,1500.0
23,11.96524064171123,89.82994652406417,23,800.0,1500.0
24,33.24866310160428,93.14545454545454,24,800.0,1500.0
25,9.911764705882353,91.00641711229946,25,800.0,1500.0
26,25.40909090909091,86.40748663101604,26,800.0,1500.0
27,9.82620320855615,100.66417112299465,27,800.0,1500.0
28,7.569518716577541,101.59465240641711,28,800.0,1500.0
29,10.467914438502675,89.72299465240641,29,800.0,1500.0
30,16.885026737967912,87.26310160427806,30,800.0,1500.0
31,22.446524064171122,71.11336898395722,31,800.0,1500.0
32,22.31818181818182,62.985026737967914,32,800.0,1500.0
33,23.08823529411765,68.33262032085561,33,800.0,1500.0
34,22.692513368983956,67.26310160427806,34,800.0,1500.0
35,60.30748663101604,110.49304812834224,35,1050.0,1300.0
36,60.6283422459893,113.87272727272727,36,950.0,1100.0
37,61.56951871657754,112.6427807486631,37,1200.0,1300.0
38,60.532085561497325,112.10802139037432,38,1050.0,1300.0
39,62.68181818181818,112.39679144385026,39,1050.0,1300.0
40,15.815508021390375,69.18823529411765,40,800.0,1500.0
41,15.601604278074866,69.40213903743314,41,800.0,1500.0
42,15.419786096256685,71.82994652406417,42,800.0,1500.0
43,19.237967914438503,26.300534759358285,43,1050.0,1150.0
44,27.68716577540107,69.82994652406417,44,800.0,1500.0
45,6.831550802139038,84.56791443850267,45,800.0,1500.0
46,52.00802139037433,104.06524064171123,46,800.0,1500.0
47,2.3395721925133692,106.40748663101604,47,800.0,1500.0
48,20.735294117647058,113.35935828877004,48,800.0,1500.0
49,16.029411764705884,105.87272727272727,49,800.0,1500.0
